,DateIssue,DateForecast,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,ActionDay,Discussion
0,2026-06-02,2026-06-03,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,
1,2026-06-02,2026-06-03,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
2,2026-06-02,2026-06-04,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,
3,2026-06-02,2026-06-04,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
4,2026-06-02,2026-06-05,Madison Area,WI,43.0673,-89.4181,O3,-1,1,Good,False,
5,2026-06-02,2026-06-05,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
6,2026-06-02,2026-06-02,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,
7,2026-06-02,2026-06-02,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
8,2026-06-02,2026-06-03,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,
9,2026-06-02,2026-06-03,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
10,2026-06-02,2026-06-04,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,
11,2026-06-02,2026-06-04,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
12,2026-06-02,2026-06-05,Madison Area,WI,43.0673,-89.4181,O3,-1,1,Good,False,
13,2026-06-02,2026-06-05,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
14,2026-06-01,2026-06-01,Madison Area,WI,43.0673,-89.4181,O3,-1,1,Good,False,
15,2026-06-01,2026-06-01,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
16,2026-06-01,2026-06-02,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,
17,2026-06-01,2026-06-02,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
18,2026-06-01,2026-06-03,Madison Area,WI,43.0673,-89.4181,O3,-1,3,Unhealthy for Sensitive Groups,False,
19,2026-06-01,2026-06-03,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,2,Moderate,False,
20,2026-06-01,2026-06-04,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,
21,2026-06-01,2026-06-04,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
22,2026-05-31,2026-05-31,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,
23,2026-05-31,2026-05-31,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
24,2026-05-31,2026-06-01,Madison Area,WI,43.0673,-89.4181,O3,-1,1,Good,False,
25,2026-05-31,2026-06-01,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
26,2026-05-31,2026-06-02,Madison Area,WI,43.0673,-89.4181,O3,-1,1,Good,False,
27,2026-05-31,2026-06-02,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
28,2026-05-31,2026-06-03,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,
29,2026-05-31,2026-06-03,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,
30,2026-05-29,2026-05-30,Madison Area,WI,43.0673,-89.4181,O3,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
31,2026-05-29,2026-05-30,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
32,2026-05-29,2026-05-31,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
33,2026-05-29,2026-05-31,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
34,2026-05-29,2026-06-01,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
35,2026-05-29,2026-06-01,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
36,2026-05-29,2026-05-29,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
37,2026-05-29,2026-05-29,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
38,2026-05-29,2026-05-30,Madison Area,WI,43.0673,-89.4181,O3,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
39,2026-05-29,2026-05-30,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
40,2026-05-29,2026-05-31,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
41,2026-05-29,2026-05-31,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
42,2026-05-29,2026-06-01,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
43,2026-05-29,2026-06-01,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
44,2026-05-28,2026-05-28,Madison Area,WI,43.0673,-89.4181,O3,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
45,2026-05-28,2026-05-28,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
46,2026-05-28,2026-05-29,Madison Area,WI,43.0673,-89.4181,O3,-1,2,Moderate,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
47,2026-05-28,2026-05-29,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
48,2026-05-28,2026-05-30,Madison Area,WI,43.0673,-89.4181,O3,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
49,2026-05-28,2026-05-30,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
50,2026-05-28,2026-05-31,Madison Area,WI,43.0673,-89.4181,O3,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
51,2026-05-28,2026-05-31,Madison Area,WI,43.0673,-89.4181,PM2.5,-1,1,Good,False,"To view county-level forecast maps, visit the Wisconsin Department of Natural Resources Air Quality Map homepage: https://airquality.wi.gov/"
