,AQI,ActionDay,CategoryName,CategoryNumber,Concentration,DateForecast,DateIssue,Discussion,Latitude,Longitude,ParameterName,ReportingArea,StateCode
0,-1,False,Moderate,2,,2026-06-03,2026-06-03,,43.0673,-89.4181,O3,Madison Area,WI
1,-1,False,Good,1,-0.24,2026-06-03,2026-06-03,,43.0673,-89.4181,PM2.5,Madison Area,WI
2,-1,False,Moderate,2,,2026-06-04,2026-06-03,,43.0673,-89.4181,O3,Madison Area,WI
3,-1,False,Good,1,-0.24,2026-06-04,2026-06-03,,43.0673,-89.4181,PM2.5,Madison Area,WI
4,-1,False,Good,1,,2026-06-05,2026-06-03,,43.0673,-89.4181,O3,Madison Area,WI
5,-1,False,Good,1,-0.24,2026-06-05,2026-06-03,,43.0673,-89.4181,PM2.5,Madison Area,WI
6,-1,False,Good,1,,2026-06-06,2026-06-03,,43.0673,-89.4181,O3,Madison Area,WI
7,-1,False,Good,1,-0.24,2026-06-06,2026-06-03,,43.0673,-89.4181,PM2.5,Madison Area,WI
8,-1,False,Moderate,2,,2026-06-02,2026-06-02,,43.0673,-89.4181,O3,Madison Area,WI
9,-1,False,Good,1,-0.24,2026-06-02,2026-06-02,,43.0673,-89.4181,PM2.5,Madison Area,WI
10,-1,False,Moderate,2,,2026-06-03,2026-06-02,,43.0673,-89.4181,O3,Madison Area,WI
11,-1,False,Good,1,-0.24,2026-06-03,2026-06-02,,43.0673,-89.4181,PM2.5,Madison Area,WI
12,-1,False,Moderate,2,,2026-06-04,2026-06-02,,43.0673,-89.4181,O3,Madison Area,WI
13,-1,False,Good,1,-0.24,2026-06-04,2026-06-02,,43.0673,-89.4181,PM2.5,Madison Area,WI
14,-1,False,Good,1,,2026-06-05,2026-06-02,,43.0673,-89.4181,O3,Madison Area,WI
15,-1,False,Good,1,-0.24,2026-06-05,2026-06-02,,43.0673,-89.4181,PM2.5,Madison Area,WI
16,-1,False,Good,1,,2026-06-01,2026-06-01,,43.0673,-89.4181,O3,Madison Area,WI
17,-1,False,Good,1,-0.24,2026-06-01,2026-06-01,,43.0673,-89.4181,PM2.5,Madison Area,WI
18,-1,False,Moderate,2,,2026-06-02,2026-06-01,,43.0673,-89.4181,O3,Madison Area,WI
